ticker,company_name,trade_date,insider_name,insider_role,transaction_type,shares,price,value_usd,size_bucket,ret_10d
NKTX,"Nkarta, Inc.",2024-03-27,Kolchinsky Peter,"Director,TenPercentOwner",P,3000000.0,10.0,30000000.0,large_buy,-0.2061344014026798
NKTX,"Nkarta, Inc.",2024-03-27,Shah Rajeev M.,"Director,TenPercentOwner",P,3000000.0,10.0,30000000.0,large_buy,-0.2061344014026798
NKTX,"Nkarta, Inc.",2024-03-27,"RA Capital Nexus Fund, L.P.","Director,TenPercentOwner",P,3000000.0,10.0,30000000.0,large_buy,-0.2061344014026798
NKTX,"Nkarta, Inc.",2024-03-27,RA Capital Healthcare Fund LP,"Director,TenPercentOwner",P,3000000.0,10.0,30000000.0,large_buy,-0.2061344014026798
NKTX,"Nkarta, Inc.",2024-03-27,"RA CAPITAL MANAGEMENT, L.P.","Director,TenPercentOwner",P,3000000.0,10.0,30000000.0,large_buy,-0.2061344014026798
OTLK,"Outlook Therapeutics, Inc.",2024-03-28,Haddadin Yezan Munther,Director,P,1881.71,11.82,22241.8122,normal_buy,-0.27135677428676697
NKTX,"Nkarta, Inc.",2024-03-27,George Simeon,Director,P,1548341.0,10.0,15483410.0,normal_buy,-0.2061344014026798
NKTX,"Nkarta, Inc.",2024-03-27,George Simeon,Director,P,451659.0,10.0,4516590.0,normal_buy,-0.2061344014026798
BMXI,BROOKMOUNT EXPLORATIONS INC,2024-03-28,PITTMAN JEFFREY STEPHEN,Director,P,800000.0,0.03,24000.0,normal_buy,0.8181817873942949
AXR,AMREP CORP.,2024-03-26,DAHL JAMES H,TenPercentOwner,P,2500.0,21.43,53575.0,normal_buy,-0.011235955056179803
AXR,AMREP CORP.,2024-03-26,Lancaster Rainey E.,TenPercentOwner,P,2500.0,21.43,53575.0,normal_buy,-0.011235955056179803
BRT,BRT Apartments Corp.,2024-03-25,GOULD MATTHEW J,"Director,Officer",P,4275.0,16.48,70452.0,normal_buy,0.09739458978606508
BRT,BRT Apartments Corp.,2024-03-26,GOULD MATTHEW J,"Director,Officer",P,11200.0,16.14,180768.0,normal_buy,0.06957612972237692
BRT,BRT Apartments Corp.,2024-03-19,GOULD MATTHEW J,"Director,Officer",P,991.0,16.25,16103.75,normal_buy,0.04802504720127332
BRT,BRT Apartments Corp.,2024-03-18,GOULD MATTHEW J,"Director,Officer",P,2277.0,16.29,37092.329999999994,normal_buy,0.023672848729732854
BRT,BRT Apartments Corp.,2024-03-22,GOULD MATTHEW J,"Director,Officer",P,3471.0,16.26,56438.46000000001,normal_buy,0.06430181379188427
MPA,BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND,2024-03-26,Weinstein Boaz,TenPercentOwner,P,16674.0,12.14,202422.36000000002,normal_buy,-0.02145224498031073
MPA,BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND,2024-03-26,"Saba Capital Management, L.P.",TenPercentOwner,P,16674.0,12.14,202422.36000000002,normal_buy,-0.02145224498031073
MPA,BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND,2024-03-25,Weinstein Boaz,TenPercentOwner,P,3691.0,12.12,44734.92,normal_buy,-0.0099011510583501
MPA,BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND,2024-03-25,"Saba Capital Management, L.P.",TenPercentOwner,P,3691.0,12.12,44734.92,normal_buy,-0.0099011510583501
TRDA,"Entrada Therapeutics, Inc.",2024-03-22,KIM PETER S,Director,P,3118.0,13.76,42903.68,large_buy,-0.01967933327323057
TRDA,"Entrada Therapeutics, Inc.",2024-03-26,KIM PETER S,Director,P,2750.0,13.64,37510.0,normal_buy,-0.09011626093693237
TRDA,"Entrada Therapeutics, Inc.",2024-03-25,KIM PETER S,Director,P,3180.0,13.36,42484.799999999996,large_buy,-0.007473870001077021
VRME,"VerifyMe, Inc.",2024-03-25,LAFFER ARTHUR B,Director,P,7394.83,1.36,10056.9688,normal_buy,0.17142858115994208
LEGH,Legacy Housing Corp,2024-03-26,Stouder Jeffrey Kyle,Director,P,5050.0,19.9,100495.0,normal_buy,0.03080811282102469
RC,Ready Capital Corp,2024-03-22,NATHAN GILBERT E,Director,P,7000.0,9.12,63839.99999999999,normal_buy,-0.007785105036881013
RC,Ready Capital Corp,2024-03-22,NATHAN GILBERT E,Director,P,2150.0,9.13,19629.5,normal_buy,-0.007785105036881013
MPAA,MOTORCAR PARTS OF AMERICA INC,2024-03-25,Warfield Patricia W,Director,P,2000.0,7.87,15740.0,normal_buy,-0.141073668183735
